value,n,estimator
166800.6328,2,BIC
164777.8347,3,BIC
163887.0006,4,BIC
163767.3976,5,BIC
164015.428,6,BIC
164294.5716,7,BIC
164286.8608,8,BIC
164629.8486,9,BIC
164937.2288,10,BIC
165253.3828,11,BIC
165696.7102,12,BIC
166067.3487,13,BIC
166402.3197,14,BIC
166868.6313,15,BIC
167363.2999,16,BIC
167809.7307,17,BIC
168258.3722,18,BIC
168681.3948,19,BIC
169184.881,20,BIC
169376.7667,21,BIC
169792.1136,22,BIC
170286.5866,23,BIC
170755.8581,24,BIC
171263.9958,25,BIC
171755.2936,26,BIC
172318.4236,27,BIC
172775.347,28,BIC
173160.9351,29,BIC
173637.1637,30,BIC
174156.9973,31,BIC
174734.1806,32,BIC
175249.208,33,BIC
175725.8216,34,BIC
176239.4891,35,BIC
