"value","n","estimator"
176505.9375,2,"BIC"
175907.3617,3,"BIC"
174048.9311,4,"BIC"
173631.5528,5,"BIC"
173132.586,6,"BIC"
173248.8068,7,"BIC"
173569.7547,8,"BIC"
173764.2681,9,"BIC"
173952.2542,10,"BIC"
173967.5117,11,"BIC"
174430.014,12,"BIC"
174721.8833,13,"BIC"
175189.4332,14,"BIC"
175570.4244,15,"BIC"
176087.2357,16,"BIC"
176583.5249,17,"BIC"
177028.4123,18,"BIC"
177367.062,19,"BIC"
177838.8678,20,"BIC"
178161.5328,21,"BIC"
178616.2128,22,"BIC"
179102.7412,23,"BIC"
179609.5228,24,"BIC"
180076.8247,25,"BIC"
180589.2544,26,"BIC"
181073.1888,27,"BIC"
181569.2257,28,"BIC"
182053.824,29,"BIC"
182558.6275,30,"BIC"
183048.8969,31,"BIC"
183627.6327,32,"BIC"
184182.4378,33,"BIC"
184732.2253,34,"BIC"
185241.6631,35,"BIC"
