"rep","k","BIC"
1,2,198525.9732
1,3,198189.8263
1,4,194285.3554
1,5,193385.0109
1,6,191853.7859
1,7,192440.2537
1,8,192998.178
1,9,193602.013
1,10,194134.2611
2,2,198670.5365
2,3,197631.3484
2,4,194327.9915
2,5,193311.2702
2,6,191978.4484
2,7,192560.7498
2,8,193136.283
2,9,193722.956
2,10,194270.9279
3,2,203386.358
3,3,202222.0253
3,4,198826.542
3,5,197962.4643
3,6,196570.6489
3,7,197172.4448
3,8,197723.7848
3,9,198327.6413
3,10,198875.7977
4,2,198445.505
4,3,197554.4742
4,4,193938.7831
4,5,192996.1961
4,6,191756.7246
4,7,192336.961
4,8,192900.0103
4,9,193455.4723
4,10,194008.9762
5,2,194837.953
5,3,194138.9494
5,4,191098.0526
5,5,190279.8795
5,6,188915.0245
5,7,189501.6584
5,8,190074.2247
5,9,190647.9205
5,10,191224.6407
6,2,198586.8095
6,3,198335.631
6,4,194467.3726
6,5,193459.3783
6,6,192030.2383
6,7,192626.1715
6,8,193201.7812
6,9,193774.6991
6,10,194349.9703
7,2,199998.0634
7,3,198890.0441
7,4,195638.8985
7,5,195034.0341
7,6,193123.5082
7,7,193710.6776
7,8,194293.5664
7,9,194862.8212
7,10,195418.0077
8,2,201014.7224
8,3,199952.9884
8,4,196386.6672
8,5,195634.0607
8,6,194064.3809
8,7,194636.3486
8,8,195233.4711
8,9,195795.7086
8,10,196313.8877
9,2,196992.0499
9,3,196107.4133
9,4,193070.6735
9,5,192078.4285
9,6,190606.2074
9,7,191195.2487
9,8,191805.3433
9,9,192296.5059
9,10,192848.4134
10,2,196395.8454
10,3,195406.5918
10,4,192338.8128
10,5,191693.724
10,6,190130.4167
10,7,190709.1526
10,8,191265.0197
10,9,191830.5735
10,10,192388.7044
11,2,198642.9019
11,3,197623.4698
11,4,194278.7488
11,5,193202.0306
11,6,191859.2761
11,7,192434.1691
11,8,193020.7661
11,9,193590.9737
11,10,194137.3365
12,2,198726.8203
12,3,197742.3289
12,4,194848.5548
12,5,193981.0373
12,6,192616.5039
12,7,193188.9117
12,8,193751.1195
12,9,194316.2595
12,10,194872.1768
13,2,203190.3947
13,3,201828.9466
13,4,198019.0329
13,5,197054.4869
13,6,195610.348
13,7,196158.0569
13,8,196745.7514
13,9,197698.7075
13,10,197888.5455
14,2,201410.7471
14,3,199763.0411
14,4,196394.7395
14,5,195569.6778
14,6,194092.3358
14,7,194673.0235
