threshold,method,events,pval_out_of_range,median_span_nt,flagged_recomb,flagged_pure,sensitivity,specificity,youden_j
0.1,Bootscan,47564,0,180,20,17,1,0,0
0.5,Bootscan,35702,0,180,20,17,1,0,0
0.9,Bootscan,24622,0,200,20,17,1,0,0
0.1,Geneconv,80,0,1454.5,10,12,0.5,0.29411764705882354,-0.2058823529411764
0.5,Geneconv,81,0,1405,10,12,0.5,0.29411764705882354,-0.2058823529411764
0.9,Geneconv,80,0,1446,10,12,0.5,0.29411764705882354,-0.2058823529411764
0.1,Maxchi,4240,0,51,20,17,1,0,0
0.5,Maxchi,3151,0,51,20,17,1,0,0
0.9,Maxchi,75,0,54,8,16,0.4,0.058823529411764705,-0.5411764705882353
0.1,Rdp,67636,65972,75,20,17,1,0,0
0.5,Rdp,63442,59444,67,20,17,1,0,0
0.9,Rdp,57958,55594,59,20,17,1,0,0
0.1,Siscan,1,0,-1,1,0,0.05,1,0.050000000000000044
0.5,Siscan,4,0,-1,2,1,0.1,0.9411764705882353,0.04117647058823537
0.1,Threeseq,34,0,2308,13,9,0.65,0.47058823529411764,0.12058823529411766
0.5,Threeseq,33,0,2291,14,9,0.7,0.47058823529411764,0.17058823529411749
0.9,Threeseq,33,0,2184,15,8,0.75,0.5294117647058824,0.27941176470588225
