Method,Start,End,Recombinant,Parent1,Parent2,Pvalue
Threeseq,6195,7555,01A1,01C,F1,7.146207e-12
Threeseq,5431,7528,01B,01C,AE,0.000000e+00
Threeseq,5390,7591,01B,02B,A3,2.422393e-09
Threeseq,5375,8528,01B,A,A2,3.900028e-12
Threeseq,5469,7709,01B,01A1,AD,1.896232e-27
Threeseq,2500,5210,02B,02G,AG,6.845928e-19
Threeseq,5344,6591,02G,02A,B,4.334808e-10
Threeseq,1403,3909,A,K,cpx,1.248701e-08
Threeseq,1375,5346,A1,02B,02G,4.114107e-13
Threeseq,6552,7759,A1,A1D,CD,2.133440e-27
Threeseq,5178,7725,A1D,A2,AD,8.208502e-07
Threeseq,122,5395,A2D,01B,A1,1.547231e-09
Threeseq,4687,5087,A2D,A2,A3,6.897092e-04
Threeseq,5499,7409,AE,01B,B,3.191286e-116
Threeseq,2191,5519,AG,02A,A6,1.343354e-06
Threeseq,4985,5569,BC,C,CD,2.258802e-20
Threeseq,5523,7462,BF,01B,B,5.565936e-25
Threeseq,5523,7462,BF,01B,B.FR.83.HXBLAI_IIIB_BRU.K03455,2.437122e-26
Threeseq,5193,5484,BF,DF,F1,8.062628e-07
Threeseq,1936,7404,BF1,DF,F2,2.942015e-02
Threeseq,5505,7457,BG,G,J,1.909466e-22
Threeseq,4856,5600,C,B,BC,5.135840e-25
Threeseq,1201,8514,CD,DF,F1,3.560896e-18
Threeseq,4963,5741,D,C,CD,2.298082e-22
Threeseq,5244,7591,DF,A1D,D,1.064717e-14
Threeseq,261,8529,DF,A2,A2D,1.117866e-11
Threeseq,1639,2889,F1,B,BF1,1.052688e-26
Threeseq,2158,2889,F1,B.FR.83.HXBLAI_IIIB_BRU.K03455,BF,3.698381e-24
Threeseq,4057,5241,F2,J,K,8.423841e-03
Threeseq,2500,5220,G,02G,AG,1.181253e-45
Threeseq,5490,7361,G,B,BG,2.361234e-84
Threeseq,5229,7703,K,G,J,1.263548e-02
Threeseq,351,7416,cpx,H,K,2.067298e-02
