Method,Start,End,Recombinant,Parent1,Parent2,Pvalue
Maxchi,8447,8502,01A1,C,CD,0.1463666235356407
Maxchi,3390,3438,01B,A2,A5U,0.2901595055835755
Maxchi,7882,7936,01B,02B,C,0.08326451666355042
Maxchi,3173,3220,01C,A2,A5U,0.17603501278681832
Maxchi,2880,2935,01C,A5U,G,0.13659707254927558
Maxchi,7897,7946,01C,CD,L,0.38319605991068373
Maxchi,3182,3239,02G,A1,BG,0.08787112220270843
Maxchi,7892,7946,02G,A3,C,0.026569644537559958
Maxchi,3007,3053,02G,AE,BG,0.25521505806585826
Maxchi,1334,1384,A,BC,CPZ,0.22525290636064965
Maxchi,8539,8543,A,C,K,0.010675689620791743
Maxchi,3760,3809,A1,A2,A5U,0.022950538964290043
Maxchi,2300,2353,A1,BG,J,0.06975027434132507
Maxchi,5742,5796,A1D,02B,CPZ,0.003892417122778633
Maxchi,7652,7705,A1D,BF1,C,0.026336865896255723
Maxchi,5815,5864,A2,02B,CPZ,0.319086934698316
Maxchi,2802,2856,A2,A5U,BF1,0.12545785464424355
Maxchi,1637,1672,A2,A5U,CPZ,0.0007718664488286622
Maxchi,2860,2916,A2,A6,BG,0.15976271723788146
Maxchi,8447,8502,A2,01C,B,0.04139761866128843
Maxchi,1493,1536,A2,BF1,CPZ,0.19126760557123534
Maxchi,2916,2971,A2,01A1,BG,0.26144330849074926
Maxchi,2860,2916,A2,A5U,BG,0.15976271723788146
Maxchi,1493,1536,A2,CPZ,F1,0.19126760557123534
Maxchi,3133,3185,A2,A5U,G,0.16310108098638612
Maxchi,2806,2855,A2,BF,G,0.10557315829932173
Maxchi,8488,8532,A2,CD,K,0.21850142470683914
Maxchi,1640,1677,A2D,A5U,CPZ,0.02612005660229487
Maxchi,7618,7672,A3,B.FR.83.HXBLAI_IIIB_BRU.K03455,C,0.008828760952818624
Maxchi,2950,2999,A3,02G,BG,0.007318218318355071
Maxchi,8220,8266,A3,A2D,C,0.15276274311762741
Maxchi,8336,8389,A3,A5U,C,0.2443639788403602
Maxchi,8336,8389,A3,AE,C,0.2443639788403602
Maxchi,7754,7801,A3,BF,C,0.6586349273764494
Maxchi,7681,7731,A3,BF1,C,0.2004234991425492
Maxchi,8377,8425,A3,C,C2U,0.1909458086232501
Maxchi,7969,8026,A3,C,CD,0.005324474651708244
Maxchi,5487,5534,A3,C,CPZ,0.003404308919247056
Maxchi,7957,8008,A3,C,D,0.17734046011914123
Maxchi,7893,7946,A3,C,DF,0.06578398039003458
Maxchi,7970,8026,A3,C,F1,0.006611437029554475
Maxchi,8031,8081,A3,C,F2,0.005149275467961206
Maxchi,7946,7999,A3,C,J,0.06578398039003458
Maxchi,7970,8026,A3,C,K,0.006611437029554475
Maxchi,7969,8026,A3,C,L,0.005324474651708244
Maxchi,2152,2202,A3,BG,J,0.14891467317876161
Maxchi,5739,5792,A3,CPZ,K,0.16531674861801263
Maxchi,1635,1685,A5U,02G,CPZ,0.3425489343655632
Maxchi,3076,3126,A5U,A6,G,0.06376615836182782
Maxchi,2615,2665,A5U,02B,C,0.08172275229865922
Maxchi,5815,5864,A6,02B,CPZ,0.319086934698316
Maxchi,5933,5981,A6,A2D,CPZ,0.25251618512709156
Maxchi,1288,1339,A6,BC,CPZ,0.11767260740503595
Maxchi,1493,1536,A6,BF1,CPZ,0.19126760557123534
Maxchi,3053,3099,A6,02G,BG,0.25521505806585826
Maxchi,5739,5792,A6,CPZ,K,0.16531674861801263
Maxchi,3341,3390,AE,A2,A5U,0.277339031200013
Maxchi,2610,2663,AE,A5U,BC,0.4091137720282485
Maxchi,1284,1334,AE,BC,CPZ,0.7705879472254954
Maxchi,6260,6310,AG,02B,CPZ,0.22067136191984324
Maxchi,2916,2971,AG,BG,L,0.15646388873798306
Maxchi,1338,1394,B,BC,CPZ,0.285469194052273
Maxchi,1545,1612,B,BF,CPZ,0.001585405922953041
Maxchi,1545,1612,B,BF1,CPZ,0.012959585443936167
Maxchi,1419,1469,B,CPZ,D,0.0040920281993592905
Maxchi,1545,1612,B,CPZ,F1,0.0016300851601140519
Maxchi,1545,1612,B,CPZ,F2,0.018302510964056475
Maxchi,2793,2853,B.FR.83.HXBLAI_IIIB_BRU.K03455,A2,A5U,0.1395480278833523
Maxchi,2613,2662,B.FR.83.HXBLAI_IIIB_BRU.K03455,A2,BG,0.06515284106947745
Maxchi,2806,2855,B.FR.83.HXBLAI_IIIB_BRU.K03455,A2,G,0.10557315829932173
Maxchi,1549,1614,B.FR.83.HXBLAI_IIIB_BRU.K03455,BC,CPZ,0.009030740666968162
Maxchi,6718,6786,B.FR.83.HXBLAI_IIIB_BRU.K03455,01A1,BG,0.012300136228761336
Maxchi,8031,8078,B.FR.83.HXBLAI_IIIB_BRU.K03455,C,cpx,0.06765035196679746
Maxchi,1289,1339,BC,01A1,CPZ,0.059384497254896466
Maxchi,2610,2663,BC,01B,A5U,0.4091137720282485
Maxchi,1492,1535,BC,01B,CPZ,0.19126760557123534
Maxchi,1289,1339,BC,02B,CPZ,0.059384497254896466
Maxchi,1289,1339,BC,02G,CPZ,0.059384497254896466
Maxchi,1284,1334,BC,A2D,CPZ,0.7705879472254954
Maxchi,2615,2665,BC,A5U,AD,0.0415651498373117
Maxchi,1334,1384,BC,A5U,CPZ,0.22525290636064965
Maxchi,1493,1536,BC,BF1,CPZ,0.19126760557123534
Maxchi,2793,2853,BF,A2,A5U,0.1395480278833523
Maxchi,2551,2603,BF,A5U,BC,0.11036606054778914
Maxchi,3123,3171,BG,01A1,02G,0.4385780260809997
Maxchi,3007,3053,BG,01B,02G,0.25521505806585826
Maxchi,5797,5850,BG,02B,CPZ,0.31753248334913153
Maxchi,2851,2903,BG,02G,A1D,0.26835243380936197
Maxchi,2850,2902,BG,02G,C2U,0.5133628074176055
Maxchi,1651,1704,BG,02G,CPZ,0.024211334345649132
Maxchi,7587,7634,BG,02B,A,0.0056834468779344465
Maxchi,2748,2801,BG,01C,A2,0.4870203302853211
Maxchi,2757,2806,BG,A2,D,0.10557315829932173
Maxchi,2916,2971,BG,A2,H,0.26144330849074926
Maxchi,2801,2855,BG,A2,cpx,0.5341566586228044
Maxchi,3053,3099,BG,02G,A5U,0.25521505806585826
Maxchi,2467,2509,BG,F2,L,0.029668497457516173
Maxchi,2048,2100,BG,01C,J,0.15929011137171645
Maxchi,2353,2406,BG,J,L,0.04123603140394829
Maxchi,8240,8288,C,01B,A3,0.10848678432480566
Maxchi,7946,7999,C,02A,A3,0.06578398039003458
Maxchi,7768,7821,C,02B,A3,0.32153448238804755
Maxchi,8524,8543,C,AG,CD,0.028049751390795585
Maxchi,8339,8391,C,AE,B,0.22422993186951534
Maxchi,3123,3182,C,A5U,BC,0.015252104189761757
Maxchi,2999,3058,C,BC,BG,0.05822494988070689
Maxchi,2860,2916,C,02G,BG,0.15646388873798306
Maxchi,2619,2663,C,A5U,BG,0.035938930574022566
Maxchi,7888,7940,C,02B,CD,0.06531336129005759
Maxchi,8395,8442,C,A1D,CD,0.6377621303522464
Maxchi,8524,8543,C,A2D,CD,0.028049751390795585
Maxchi,7889,7938,C,02B,D,0.08855186549684345
Maxchi,2862,2925,C,A5U,G,0.002167444680705176
Maxchi,8368,8423,C,AE,H,0.20570560432393764
Maxchi,7760,7810,C,02B,J,0.03705621856411898
Maxchi,7903,7958,C,A1D,L,0.09647011794906238
Maxchi,5742,5795,CD,A1D,CPZ,0.031181982331322165
Maxchi,1549,1601,CPZ,A,F1,0.010147382137106836
Maxchi,1494,1548,CPZ,A2,BG,0.2596563563704468
Maxchi,5813,5864,CPZ,A2,CD,0.14960146489829035
Maxchi,5917,5969,CPZ,02B,A2D,0.15979572042433285
Maxchi,1493,1536,CPZ,A6,F1,0.19126760557123534
Maxchi,1480,1534,CPZ,AD,BF1,0.2856617354237437
Maxchi,5843,5894,CPZ,02B,AE,0.6742732665709598
Maxchi,1480,1535,CPZ,AE,BF,0.4062453154017831
Maxchi,5797,5850,CPZ,02B,B.FR.83.HXBLAI_IIIB_BRU.K03455,0.31753248334913153
Maxchi,1545,1612,CPZ,B.FR.83.HXBLAI_IIIB_BRU.K03455,F1,0.0016300851601140519
Maxchi,1289,1339,CPZ,AD,BC,0.059384497254896466
Maxchi,1493,1536,CPZ,BC,BF,0.19126760557123534
Maxchi,1284,1334,CPZ,BC,CD,0.7705879472254954
Maxchi,1493,1536,CPZ,02G,BF,0.19126760557123534
