Method,Start,End,Recombinant,Parent1,Parent2,Pvalue
Geneconv,5673,7684,B,01B,-,0.00000
Geneconv,5664,7554,B,BG,-,0.00000
Geneconv,1645,3043,B.FR.83.HXBLAI_IIIB_BRU.K03455,BF1,-,0.00000
Geneconv,5673,7678,B.FR.83.HXBLAI_IIIB_BRU.K03455,01B,-,0.00000
Geneconv,6794,8006,CD,A1D,-,0.00000
Geneconv,197,5644,01B,01C,-,0.00000
Geneconv,1645,3050,B.FR.83.HXBLAI_IIIB_BRU.K03455,BF,-,0.00000
Geneconv,2638,5374,AG,02G,-,0.00000
Geneconv,6794,8006,D,A1D,-,0.00000
Geneconv,1806,3043,B,BF1,-,0.00000
Geneconv,138,5644,AE,01B,-,0.00000
Geneconv,255,4486,A,01B,-,0.00000
Geneconv,5664,7592,B.FR.83.HXBLAI_IIIB_BRU.K03455,BG,-,0.00000
Geneconv,1801,5196,A1,A1D,-,0.00000
Geneconv,628,4486,A,AE,-,0.00000
Geneconv,2839,5507,02G,02B,-,0.00000
Geneconv,138,5449,G,BG,-,0.00000
Geneconv,1816,3067,B,BF,-,0.00000
Geneconv,782,4506,A3,01B,-,0.00000
Geneconv,405,4506,A3,AE,-,0.00000
Geneconv,2521,4566,A6,02A,-,0.00000
Geneconv,2702,4322,B,02B,-,0.00000
Geneconv,138,2570,D,CD,-,0.00000
Geneconv,506,2072,CD,A1D,-,0.00000
Geneconv,506,2072,D,A1D,-,0.00000
Geneconv,138,2132,DF,CD,-,0.00001
Geneconv,517,2628,BG,02G,-,0.00001
Geneconv,2638,4847,A,02G,-,0.00001
Geneconv,234,1215,AE,cpx,-,0.00001
Geneconv,198,1212,cpx,01C,-,0.00002
Geneconv,1121,4486,A1,01B,-,0.00004
Geneconv,138,3434,01B,01A1,-,0.00004
Geneconv,234,1215,cpx,01B,-,0.00004
Geneconv,1820,5166,A,A1D,-,0.00010
Geneconv,138,2132,D,DF,-,0.00015
Geneconv,2680,4167,B.FR.83.HXBLAI_IIIB_BRU.K03455,02B,-,0.00020
Geneconv,3511,4850,G,AG,-,0.00024
Geneconv,1289,4484,A6,01B,-,0.00027
Geneconv,138,1200,AG,cpx,-,0.00051
Geneconv,1322,2654,B.FR.83.HXBLAI_IIIB_BRU.K03455,BC,-,0.00072
Geneconv,1289,4484,A6,AE,-,0.00077
Geneconv,188,1182,cpx,01A1,-,0.00078
Geneconv,1121,4486,A1,AE,-,0.00093
Geneconv,3478,4695,AG,BG,-,0.00123
Geneconv,638,1209,B.FR.83.HXBLAI_IIIB_BRU.K03455,A1D,-,0.00125
Geneconv,1660,3008,K,cpx,-,0.00130
Geneconv,1322,1989,B,BC,-,0.00135
Geneconv,188,978,A1,cpx,-,0.00223
Geneconv,626,1216,B,A1D,-,0.00248
Geneconv,506,1143,DF,A1D,-,0.00260
Geneconv,6788,8327,D,CD,-,0.00276
Geneconv,257,4662,A,01A1,-,0.00278
Geneconv,6901,8104,A1,G,-,0.00304
Geneconv,4205,4847,A,G,-,0.00333
Geneconv,1645,2485,B.FR.83.HXBLAI_IIIB_BRU.K03455,CD,-,0.00364
Geneconv,266,5135,BF,BF1,-,0.00391
Geneconv,255,1182,A3,cpx,-,0.00432
Geneconv,1666,2064,cpx,02B,-,0.00493
Geneconv,1666,2153,K,02B,-,0.00641
Geneconv,1820,4488,01B,A1D,-,0.00644
Geneconv,5155,5705,C,CD,-,0.00882
Geneconv,4069,5063,G,01A1,-,0.00912
Geneconv,1384,2111,F1,AD,-,0.00929
Geneconv,5018,5813,B,BC,-,0.00930
Geneconv,4966,5454,cpx,01A1,-,0.00947
Geneconv,188,1039,A6,cpx,-,0.01005
Geneconv,4205,4880,G,A1D,-,0.01082
Geneconv,2638,4847,A3,02G,-,0.01095
Geneconv,1070,4590,A3,01A1,-,0.01295
Geneconv,517,2723,G,02G,-,0.01699
Geneconv,255,1039,A,cpx,-,0.01943
Geneconv,6935,7393,A2,G,-,0.02032
Geneconv,2635,4850,A1,02G,-,0.02160
Geneconv,4351,4882,G,AD,-,0.02479
Geneconv,2520,2771,BC,01C,-,0.02649
Geneconv,1820,4488,AE,A1D,-,0.03014
Geneconv,138,3434,AE,01A1,-,0.03503
Geneconv,4069,5408,BG,01A1,-,0.03578
Geneconv,1666,2126,F1,02B,-,0.04171
Geneconv,4205,4919,A1,G,-,0.04624
Geneconv,2224,2918,D,AD,-,0.05629
Geneconv,2638,3851,02G,02A,-,0.05821
Geneconv,1477,2495,CD,AD,-,0.05953
Geneconv,5283,5577,B,BF,-,0.06163
Geneconv,4021,4590,A3,01C,-,0.06316
Geneconv,4069,4919,A3,G,-,0.07180
Geneconv,6991,8676,DF,BF,-,0.07588
Geneconv,5401,7685,F1,DF,-,0.07604
Geneconv,6972,7690,01B,BF1,-,0.07640
Geneconv,188,972,cpx,02B,-,0.07851
Geneconv,6017,7568,A1,AG,-,0.08260
Geneconv,2520,5012,C,BC,-,0.10716
Geneconv,1666,2064,AG,cpx,-,0.11700
Geneconv,138,463,DF,A2D,-,0.11801
Geneconv,6615,6620,B.FR.83.HXBLAI_IIIB_BRU.K03455,-,-,0.01858
Geneconv,7083,7085,01B,-,-,0.07063
