"","tree_30","tree_8","tree_31","tree_10","tree_2","tree_21","most_probable","window_prob","modal_class","modal_prob","modal_prop","site"
"1",0.20259,0.108898,0.0708699,0.285748,0.116178,0.215717,"tree_10","tree_10","tree_10",0.262752286,1,1
"2",0.203561,0.103785,0.0719889,0.286861,0.116869,0.216936,"tree_10","tree_10","tree_10",0.261559748571429,1,2
"3",0.016,0.0166745,0.00680493,0.0444534,0.153155,0.762912,"tree_21","tree_10","tree_10",0.254563032727273,1,3
"4",0.203089,0.105684,0.0719358,0.286208,0.116605,0.216479,"tree_10","tree_10","tree_10",0.24704991826087,1,4
"5",0.20259,0.108898,0.0708699,0.285748,0.116178,0.215717,"tree_10","tree_10","tree_10",0.246660713333333,1,5
"6",0.20259,0.108898,0.0708699,0.285748,0.116178,0.215717,"tree_10","tree_10","tree_10",0.2458891248,1,6
"7",0.202679,0.109004,0.0708641,0.28532,0.116233,0.215901,"tree_10","tree_10","tree_10",0.237545081538462,1,7
"8",0.117053,0.120613,0.0558558,0.4092,0.0841649,0.213114,"tree_10","tree_10","tree_10",0.244692893333333,1,8
"9",0.203649,0.103867,0.0719964,0.286476,0.116909,0.217102,"tree_10","tree_10","tree_10",0.246098504285714,1,9
"10",0.203857,0.106319,0.0718591,0.285882,0.115698,0.216384,"tree_10","tree_10","tree_10",0.247108348965517,1,10
"11",0.168032,0.104641,0.127331,0.217437,0.12494,0.257619,"tree_21","tree_10","tree_10",0.248396337333333,1,11
"12",0.203405,0.109592,0.0707138,0.285377,0.115258,0.215655,"tree_10","tree_10","tree_10",0.249636455483871,1,12
"13",0.203321,0.10949,0.0707172,0.285791,0.115204,0.215478,"tree_10","tree_10","tree_10",0.25076494125,1,13
"14",0.203833,0.106338,0.0718783,0.285829,0.11572,0.216402,"tree_10","tree_10","tree_10",0.251805276363636,1,14
"15",0.224191,0.0356695,0.0300309,0.340822,0.221425,0.147862,"tree_10","tree_10","tree_10",0.252777797647059,1,15
"16",0.00107091,7.48219e-06,7.40007e-06,0.00125432,0.0828275,0.914832,"tree_21","tree_10","tree_10",0.253719803428571,1,16
