Method,Start,End,Recombinant,Parent1,Parent2,Pvalue
Rdp,5435,5449,01A1,01B,A2D,4743029.9999999935
Rdp,3273,3282,01A1,01B,AD,7378046.666666653
Rdp,3804,3805,01A1,01B,AD,66402419.999999925
Rdp,4042,4366,01A1,01B,AD,204945.74074074058
Rdp,979,989,01A1,01C,02A,6640241.999999985
Rdp,1101,1139,01A1,01C,02A,1747432.1052631561
Rdp,1356,2082,01A1,01C,02A,91463.38842975198
Rdp,2580,3171,01A1,01C,02A,112356.0406091369
Rdp,3825,4170,01A1,01C,02A,192470.78260869536
Rdp,7228,8328,01A1,01C,02A,60365.836363636256
Rdp,1094,1099,01A1,02A,02B,13280483.999999994
Rdp,1209,1233,01A1,02A,02B,2766767.4999999977
Rdp,3165,3180,01A1,02A,02B,4426827.999999993
Rdp,4021,5821,01A1,02A,02B,36890.233333333315
Rdp,6112,6119,01A1,02A,02B,9486060.000000004
Rdp,6219,6224,01A1,02A,02B,13280483.999999994
Rdp,6406,6551,01A1,02A,02B,457947.7241379306
Rdp,6976,7226,01A1,02A,02B,265609.6799999998
Rdp,7790,8294,01A1,02A,02B,131750.83333333328
Rdp,1725,2058,01A1,02A,C2U,199406.66666666642
Rdp,3409,3429,01A1,02A,C2U,3320120.999999998
Rdp,4372,4447,01A1,02A,C2U,885365.5999999993
Rdp,5284,5286,01A1,02A,C2U,33201210.00000002
Rdp,5482,5912,01A1,02A,C2U,154424.23255813925
Rdp,7980,8333,01A1,02A,C2U,188108.838526912
Rdp,8190,8270,01A1,02A,CPZ,830030.2499999994
Rdp,2261,2346,01A1,01C,02B,781204.9411764696
Rdp,2370,2373,01A1,01C,02B,22134139.999999948
Rdp,4404,5792,01A1,01C,02B,47840.36023054752
Rdp,6077,6087,01A1,01C,02B,6640241.999999985
Rdp,5774,5795,01A1,02B,CPZ,3162019.9999999977
Rdp,2750,3159,01A1,01C,02G,162353.10513447394
Rdp,3873,3888,01A1,01C,02G,4426827.999999993
Rdp,4468,5792,01A1,01C,02G,50152.885196374555
Rdp,6510,6525,01A1,01C,02G,4426827.999999993
Rdp,7242,8308,01A1,01C,02G,62291.20075046904
Rdp,2451,2544,01A1,02A,02G,714004.5161290312
Rdp,6557,6578,01A1,02A,02G,3162019.9999999977
Rdp,7573,7580,01A1,02A,02G,9486060.000000004
Rdp,7870,7887,01A1,02A,02G,3906024.7058823514
Rdp,1209,1371,01A1,02B,02G,409891.48148148117
Rdp,1833,2148,01A1,02B,02G,210801.33333333308
Rdp,5466,5485,01A1,02B,02G,3494864.2105263122
Rdp,5801,6642,01A1,02B,02G,78956.50416171207
Rdp,6680,7227,01A1,02B,02G,121393.82084095062
Rdp,7791,8250,01A1,02B,02G,144667.58169934634
Rdp,273,1054,01A1,02G,A1D,4.280511322478947e-288
Rdp,1417,2358,01A1,02G,A1D,70565.80233793831
Rdp,3189,3600,01A1,02G,A1D,161563.0656934304
Rdp,5730,5735,01A1,02G,A1D,13280483.999999994
Rdp,309,728,01A1,02G,C2U,9.036708698672193e-35
