Method,Start,End,Recombinant,Parent1,Parent2,Pvalue
Bootscan,2880,3220,01A1,01B,01C,0.002003739794391909
Bootscan,5400,5480,01A1,01B,01C,0.026927567276726593
Bootscan,6800,6920,01A1,01B,01C,0.014043648326780022
Bootscan,4920,5060,01A1,01B,02G,0.038366374844960596
Bootscan,100,2400,01A1,01B,A1D,1.9866928841055928e-16
Bootscan,5300,6180,01A1,01B,A1D,0.016329063544512728
Bootscan,4280,4460,01A1,01B,A2D,0.020793182138565788
Bootscan,4560,4900,01A1,01B,A2D,8.063971071068869e-07
Bootscan,5320,6160,01A1,01B,A2D,0.03502468608819548
Bootscan,100,1640,01A1,01B,AD,0.0003169611747482515
Bootscan,4620,4900,01A1,01B,AD,0.0004964314212664609
Bootscan,5300,6060,01A1,01B,AD,0.02994041157881962
Bootscan,5260,6180,01A1,01B,C2U,0.01958741644641968
Bootscan,100,6440,01A1,01B,CPZ,3.0159231455686726e-29
Bootscan,3000,3300,01A1,01C,02A,0.04392290009246233
Bootscan,3540,3780,01A1,01C,02A,0.0017034845999734888
Bootscan,4940,5120,01A1,01C,02A,0.04304660299734051
Bootscan,3080,3340,01A1,02A,02B,0.019959473197480083
Bootscan,3740,3940,01A1,02A,02B,0.026281530726187975
Bootscan,4300,4760,01A1,02A,02B,1.2872711433159418e-05
Bootscan,7820,8020,01A1,02A,02B,0.04823403007747858
Bootscan,2940,3920,01A1,02A,C2U,1.0922288391900282e-06
Bootscan,4500,5100,01A1,02A,C2U,7.810855701630337e-12
Bootscan,7720,8120,01A1,02A,C2U,0.0008636841981260906
Bootscan,100,6480,01A1,02A,CPZ,9.063637140381862e-40
Bootscan,6660,9000,01A1,02A,CPZ,5.4900264681716905e-08
Bootscan,6600,9020,01A1,02B,CPZ,1.399239759942603e-05
Bootscan,4400,4860,01A1,01C,02G,2.0668469577259342e-07
Bootscan,4900,5100,01A1,01C,02G,0.01938591304570367
Bootscan,1080,1340,01A1,02A,02G,2.9915505805252277e-05
Bootscan,1540,1780,01A1,02A,02G,0.0019233652356949276
Bootscan,2200,2340,01A1,02A,02G,0.014629586929166646
Bootscan,3000,3120,01A1,02A,02G,0.0018106322430015414
Bootscan,6200,6300,01A1,02A,02G,0.023330933138180618
Bootscan,7500,7660,01A1,02A,02G,0.0016576393404869308
Bootscan,7780,8100,01A1,02A,02G,2.2096746645039588e-05
Bootscan,2200,2360,01A1,02B,02G,0.03626110702020334
Bootscan,3740,3900,01A1,02B,02G,0.03626110702020334
Bootscan,7500,7660,01A1,02B,02G,0.01561586147335101
Bootscan,100,700,01A1,02G,A1D,0.04434957382023931
Bootscan,1600,1800,01A1,02G,A1D,0.01351894512508187
Bootscan,4880,5060,01A1,02G,A1D,0.002301689143129981
Bootscan,6560,7320,01A1,02G,A1D,0.019319301935037347
Bootscan,7440,7760,01A1,02G,A1D,0.00011255550300979035
Bootscan,100,940,01A1,02G,C2U,0.004215754463111944
Bootscan,740,900,01A1,01B,A,0.02098058289611449
Bootscan,3120,3440,01A1,01B,A,0.017373308883741154
Bootscan,4920,5200,01A1,01B,A,0.023575685505159115
Bootscan,960,1140,01A1,01C,A,0.04197859411604162
Bootscan,4880,5180,01A1,01C,A,0.011361019764254085
Bootscan,5360,5540,01A1,01C,A,0.0008691477856663011
Bootscan,3380,3520,01A1,A,A1,0.015050540290140892
Bootscan,4160,4280,01A1,A,A1D,0.026428731143997835
Bootscan,620,1040,01A1,A,A2,0.0005586270237255575
Bootscan,1880,2100,01A1,A,A2,0.006438185752955836
Bootscan,560,1020,01A1,A,A2D,0.0035502175353265553
Bootscan,6640,6820,01A1,A,A2D,0.0019442761043943916
Bootscan,1320,1420,01A1,A,A3,0.013510889121118978
Bootscan,3740,3920,01A1,A,A3,0.01370913178417519
Bootscan,4960,5140,01A1,A,A3,0.0046507637972795935
Bootscan,760,860,01A1,A,A6,0.008180166961994877
Bootscan,1220,1600,01A1,A,AD,0.02661175251532886
Bootscan,4900,5120,01A1,A,AE,0.01267643615269392
Bootscan,720,1020,01A1,A,AG,0.042127329596383
Bootscan,2500,3040,01A1,A,AG,0.002934555829495331
Bootscan,8140,8360,01A1,A,AG,0.01922053413304502
Bootscan,7560,8880,01A1,A,B,0.0010583333876236878
Bootscan,6560,8880,01A1,A,BC,5.414672829426873e-05
Bootscan,6540,8920,01A1,A,BF1,3.8380761093871156e-05
Bootscan,660,2200,01A1,A,BG,6.11135449566316e-11
Bootscan,500,2180,01A1,A,C,9.609706763248956e-06
Bootscan,5420,6260,01A1,A,C2U,0.012476907603619605
Bootscan,7040,8920,01A1,A,CD,5.370476024899787e-06
Bootscan,600,2120,01A1,A,DF,4.315984400721595e-12
Bootscan,620,2180,01A1,A,F1,5.4234657304184097e-14
Bootscan,5520,6020,01A1,A,F1,0.03285379127245822
Bootscan,600,2200,01A1,A,F2,2.2604784094276567e-08
Bootscan,2460,3960,01A1,A,F2,1.6459863606158094e-12
Bootscan,2460,3980,01A1,A,G,3.208616948082462e-14
Bootscan,4220,4740,01A1,A,G,5.036137363945418e-06
Bootscan,5340,5460,01A1,A,G,0.02847772393418116
Bootscan,5520,5700,01A1,A,G,0.04500851722738093
Bootscan,7840,8080,01A1,A,G,0.005117193165531611
Bootscan,100,500,01A1,A,H,0.008047290176479427
Bootscan,600,2180,01A1,A,K,0.0006363290127838061
Bootscan,2460,3980,01A1,A,K,3.1064712400762265e-07
Bootscan,4640,5180,01A1,A,L,1.8425125952111504e-12
Bootscan,5420,6040,01A1,A,L,4.367335415203459e-05
Bootscan,700,920,01A1,A,cpx,8.119784679243594e-05
Bootscan,5760,5860,01A1,A,cpx,0.0102817319739827
Bootscan,4900,5280,01A1,01B,A1,0.012018824253026255
Bootscan,6460,8360,01A1,01B,A1,0.0499211626002405
Bootscan,5340,5560,01A1,01C,A1,0.00208650379407463
Bootscan,1160,1400,01A1,02B,A1,0.031084421434081185
Bootscan,1840,2300,01A1,A1,A1D,0.000234250442449072
Bootscan,4460,4620,01A1,A1,A1D,0.0038709123610892876
Bootscan,4880,5060,01A1,A1,A1D,0.005664397818282403
Bootscan,4960,5140,01A1,A1,A3,0.007994790190629953
Bootscan,3600,4020,01A1,A1,A6,0.0024080013506666297
Bootscan,1240,1400,01A1,A1,AD,0.04631716885237515
Bootscan,2460,3000,01A1,A1,AG,0.0004596454130241773
Bootscan,8160,8440,01A1,A1,AG,0.031041181507811745
Bootscan,6540,8900,01A1,A1,BF1,0.011739635564943451
Bootscan,4200,4660,01A1,A1,G,0.0009136090255251747
Bootscan,4220,4480,01A1,A1,J,0.005781996817773484
Bootscan,2440,3980,01A1,A1,K,3.506635456191423e-06
Bootscan,4260,4500,01A1,A1,L,0.0074028157139240484
Bootscan,5720,5880,01A1,A1,cpx,0.01858942697967187
Bootscan,4960,5180,01A1,01C,A1D,0.03788463255586484
Bootscan,5300,6560,01A1,01C,A1D,0.01146030052068059
Bootscan,2580,2920,01A1,02A,A1D,0.001974872285731614
Bootscan,1660,1800,01A1,02B,A1D,0.04849205524495274
Bootscan,4600,4740,01A1,02B,A1D,0.0035261216645501624
Bootscan,5020,5200,01A1,01B,A2,0.028643785366364267
Bootscan,5300,6120,01A1,01B,A2,0.001327907137626134
Bootscan,640,1220,01A1,01C,A2,0.00042456875429953863
Bootscan,1480,1720,01A1,01C,A2,0.014052582155595952
Bootscan,2220,2340,01A1,01C,A2,0.030540936653989836
Bootscan,620,860,01A1,02A,A2,0.0016089956206909674
Bootscan,1260,1460,01A1,02A,A2,0.0033885827226079186
Bootscan,4240,4320,01A1,02A,A2,0.02833566259206764
Bootscan,5520,5700,01A1,02A,A2,0.008423097227238016
Bootscan,7480,7760,01A1,02A,A2,0.0002483008104897095
Bootscan,8160,8420,01A1,02A,A2,0.00018464809398771595
Bootscan,1240,1420,01A1,02B,A2,0.012423895269979906
Bootscan,5520,5720,01A1,02B,A2,0.03845848226009655
Bootscan,7660,7840,01A1,02G,A2,0.0014455001585618385
Bootscan,8160,8400,01A1,02G,A2,0.0007399968138457314
Bootscan,2600,2760,01A1,A1D,A2,0.020781250901264
Bootscan,6700,6820,01A1,A2,A5U,0.008866502200606724
Bootscan,8220,8360,01A1,A2,A5U,0.007808669305494116
Bootscan,4880,5060,01A1,A2,A6,6.10910602275304e-05
Bootscan,5520,5940,01A1,A2,A6,0.03220070505818822
Bootscan,1220,1520,01A1,A2,AD,0.02790932923135112
Bootscan,3360,3840,01A1,A2,AD,0.002380420215694128
Bootscan,4300,4680,01A1,A2,AD,0.0012025407877938985
Bootscan,4780,4900,01A1,A2,AD,0.021186842663603746
Bootscan,5280,6180,01A1,A2,AE,0.009520284900923165
Bootscan,8160,8360,01A1,A2,AG,0.00842243229100022
Bootscan,4260,4380,01A1,A2,B,0.032507973237139755
Bootscan,4780,5200,01A1,A2,B,3.6822338493011367e-06
Bootscan,560,740,01A1,A2,BC,0.00290685595771759
Bootscan,2820,3080,01A1,A2,BC,0.006796613075904139
Bootscan,4240,4360,01A1,A2,BF,0.00039094991315940977
Bootscan,4240,4380,01A1,A2,BF1,0.03299209439004359
Bootscan,5340,5560,01A1,A2,BG,0.0002849408466344552
Bootscan,3620,3840,01A1,A2,C,0.025520765785186625
Bootscan,4620,4680,01A1,A2,CD,0.030797759483218622
Bootscan,4640,4720,01A1,A2,D,0.020204458603381065
Bootscan,4620,4700,01A1,A2,DF,0.009024706214916326
Bootscan,4800,5200,01A1,A2,DF,4.443717283993021e-08
Bootscan,5400,5560,01A1,A2,DF,0.01826273490124148
Bootscan,3580,3840,01A1,A2,F1,0.040796881714305844
Bootscan,4240,4320,01A1,A2,F1,0.014302497315869347
Bootscan,4620,4680,01A1,A2,F1,0.04810049896677544
Bootscan,8160,8340,01A1,A2,G,0.005332230938522774
Bootscan,4820,5120,01A1,A2,H,6.395824259194078e-07
Bootscan,4580,4760,01A1,A2,J,1.215848082615584e-05
Bootscan,4820,5040,01A1,A2,J,3.589203095263707e-05
Bootscan,5400,5480,01A1,A2,J,0.048365037428850434
Bootscan,1240,1340,01A1,A2,K,0.01886621914315755
Bootscan,4800,5200,01A1,A2,K,2.85842475723257e-05
Bootscan,2460,2560,01A1,A2,L,0.03214241810145599
Bootscan,3600,3860,01A1,A2,L,0.0059770053102273756
Bootscan,4760,5160,01A1,A2,L,1.919032104298097e-06
Bootscan,6780,6900,01A1,A2,L,0.002846294402061742
Bootscan,620,1240,01A1,A2,cpx,2.816098969817002e-06
Bootscan,4200,4320,01A1,A2,cpx,0.005296401259630009
Bootscan,4620,4680,01A1,A2,cpx,0.046585364726499476
Bootscan,1480,1800,01A1,01C,A2D,0.0033994340736975925
Bootscan,3380,3820,01A1,01C,A2D,0.0026128376882765575
Bootscan,4300,4460,01A1,01C,A2D,0.03910147934101685
Bootscan,1260,1460,01A1,02A,A2D,0.00680093233178081
Bootscan,7500,7780,01A1,02A,A2D,0.0031016125070042
Bootscan,8180,8460,01A1,02A,A2D,0.0031016125070042
Bootscan,5520,5720,01A1,02B,A2D,0.021689550413873913
Bootscan,540,720,01A1,02G,A2D,0.0017898461374612664
Bootscan,4440,4620,01A1,02G,A2D,0.006784752726428698
Bootscan,4900,5100,01A1,02G,A2D,0.008803434956750216
Bootscan,8160,8400,01A1,02G,A2D,0.012112657360725594
Bootscan,7440,8540,01A1,A1D,A2D,0.0012368935566817024
Bootscan,540,760,01A1,A2D,A5U,0.00021936657734987952
Bootscan,3820,3920,01A1,A2D,A5U,0.032631928751096974
Bootscan,4300,4480,01A1,A2D,A5U,0.033401233470202484
Bootscan,1220,1520,01A1,A2D,AD,0.01304170385721298
Bootscan,3360,3820,01A1,A2D,AD,0.0005100915133937463
Bootscan,4300,4580,01A1,A2D,AD,0.00427175529264499
Bootscan,4960,5120,01A1,A2D,AD,0.0024063126171329514
Bootscan,7400,7980,01A1,A2D,BF1,0.002676469017311705
Bootscan,8140,8520,01A1,A2D,BF1,0.00330222053948428
Bootscan,5340,6180,01A1,01B,A3,0.027421550520282445
Bootscan,5340,5800,01A1,01C,A3,0.00025509859901068
Bootscan,520,700,01A1,02A,A3,0.009122835448143005
Bootscan,7500,7660,01A1,02B,A3,0.03726225112453679
Bootscan,520,700,01A1,02G,A3,0.01910430512588217
Bootscan,1340,1420,01A1,A2D,A3,0.036456462386680676
Bootscan,1500,1680,01A1,A2D,A3,0.01370913178417519
Bootscan,520,700,01A1,A3,A5U,0.005926649035106332
Bootscan,520,640,01A1,A3,A6,0.011300196512904589
Bootscan,3380,3540,01A1,A3,A6,0.029562970754180063
Bootscan,4620,4800,01A1,A3,A6,0.0007274957056916165
Bootscan,1220,1600,01A1,A3,AD,0.007772574207159357
Bootscan,4620,4800,01A1,A3,AD,0.006451458064107657
Bootscan,2560,3000,01A1,A3,AG,0.003276468602385975
Bootscan,3380,3540,01A1,A3,AG,0.04303135181786411
Bootscan,4960,5140,01A1,A3,AG,0.021995543468519483
Bootscan,520,600,01A1,A3,BF,0.0339408095321453
Bootscan,520,620,01A1,A3,BG,0.04765883485798764
Bootscan,5340,5500,01A1,A3,BG,0.022732331471545485
Bootscan,520,600,01A1,A3,CD,0.03914233764909891
Bootscan,520,620,01A1,A3,F1,0.02479994838776189
Bootscan,520,640,01A1,A3,G,0.013358529639722084
Bootscan,4300,4740,01A1,A3,G,0.0009045367195916905
Bootscan,5340,5500,01A1,A3,G,0.011522117253346563
Bootscan,4640,5120,01A1,A3,L,1.1221501738251041e-06
Bootscan,6780,6860,01A1,A3,L,0.030909540117450632
Bootscan,520,720,01A1,A3,cpx,0.0006321212516042318
Bootscan,1600,2180,01A1,A3,cpx,0.011449680440728879
Bootscan,2640,4740,01A1,A3,cpx,4.9917913948115085e-12
Bootscan,2140,2340,01A1,01C,A5U,0.0030856374269244385
Bootscan,2680,2840,01A1,01C,A5U,0.0009092772546514552
Bootscan,7600,8400,01A1,01C,A5U,0.018658011058511954
Bootscan,1080,1240,01A1,02A,A5U,0.03982311587993509
Bootscan,1340,1420,01A1,02A,A5U,0.015780298535704524
Bootscan,4260,4620,01A1,02A,A5U,1.5064891278031653e-06
Bootscan,8180,8460,01A1,02A,A5U,0.00038280177369201404
Bootscan,2040,2140,01A1,02B,A5U,0.03273454703540856
Bootscan,2180,2320,01A1,02B,A5U,0.027192279473862463
Bootscan,4240,4900,01A1,02B,A5U,6.042552347560735e-06
Bootscan,1200,1400,01A1,02G,A5U,0.004357520131036607
Bootscan,4340,4740,01A1,02G,A5U,2.8568432520234145e-09
Bootscan,4920,5180,01A1,02G,A5U,0.00013977901080378745
Bootscan,7680,7840,01A1,02G,A5U,5.793253682236588e-05
Bootscan,8180,8400,01A1,02G,A5U,0.0014609828116346243
Bootscan,9200,9620,01A1,02G,A5U,0.043234559623623
Bootscan,100,700,01A1,A1D,A5U,0.040095369301997454
Bootscan,2660,2760,01A1,A1D,A5U,0.017021193160724667
Bootscan,3580,3800,01A1,A1D,A5U,4.6119389273705315e-05
Bootscan,1260,1480,01A1,A5U,AD,0.01127219746938758
Bootscan,2160,2320,01A1,A5U,AD,0.0252821166646371
Bootscan,1260,1440,01A1,A5U,BF1,4.810581723989042e-05
Bootscan,100,960,01A1,A5U,C2U,0.002367090493966538
Bootscan,1320,1440,01A1,A5U,C2U,0.0002795311265269594
Bootscan,9020,9080,01A1,A5U,C2U,0.026493442264339796
Bootscan,4900,5140,01A1,01B,A6,0.0017926459331655965
Bootscan,2880,3320,01A1,01C,A6,0.022770244935557262
Bootscan,3620,3720,01A1,01C,A6,0.024355393138839457
Bootscan,4880,5160,01A1,01C,A6,0.006170967943473726
Bootscan,1140,1220,01A1,02A,A6,0.022579074229767016
Bootscan,1340,1440,01A1,02A,A6,0.030770772852036304
Bootscan,1940,2320,01A1,02A,A6,2.8990436182533487e-05
Bootscan,2560,2980,01A1,02A,A6,0.0005029404571147173
Bootscan,4900,5140,01A1,02A,A6,6.218307955571545e-05
Bootscan,8160,8420,01A1,02A,A6,0.037320915014872724
Bootscan,6540,7420,01A1,02G,A6,0.03179103288065359
Bootscan,4480,4600,01A1,A1D,A6,0.002015592422411336
Bootscan,4860,5100,01A1,A1D,A6,9.106067063889182e-06
Bootscan,540,1000,01A1,A2D,A6,0.0016676528187394067
Bootscan,4880,5100,01A1,A2D,A6,0.00043845414734171594
Bootscan,5440,5820,01A1,A2D,A6,0.0422995215040286
Bootscan,2000,2320,01A1,A5U,A6,0.0022891892364335343
Bootscan,4880,5160,01A1,A5U,A6,0.0002483008104897095
Bootscan,6680,6760,01A1,A5U,A6,0.02833566259206764
Bootscan,1240,1520,01A1,A6,AD,0.024009114243347993
Bootscan,600,720,01A1,A6,AE,0.038044890435124566
Bootscan,4900,5100,01A1,A6,AE,0.0025466985352865486
Bootscan,4440,4600,01A1,A6,AG,0.04960387699175438
Bootscan,5380,5960,01A1,A6,BC,0.035415476888805954
Bootscan,4720,5160,01A1,A6,C,2.233788401079955e-08
Bootscan,5420,5960,01A1,A6,C,0.02550536480114448
Bootscan,4820,5160,01A1,A6,DF,9.634563848755517e-06
Bootscan,1940,2340,01A1,A6,G,0.0009939625802982916
Bootscan,5120,5480,01A1,A6,G,0.01348471346227805
Bootscan,4160,4320,01A1,A6,H,0.013816940189836126
Bootscan,4820,5120,01A1,A6,J,0.00014545058318970365
Bootscan,4820,5160,01A1,A6,K,0.0009711712200989647
Bootscan,5420,6000,01A1,A6,L,0.02476710994473989
Bootscan,1160,1300,01A1,A6,cpx,0.018508081312695913
Bootscan,1880,2200,01A1,A6,cpx,0.016955002974242184
Bootscan,5700,5900,01A1,A6,cpx,0.0010117896250526465
Bootscan,3540,3780,01A1,02A,AD,0.010700411878633463
Bootscan,3260,3880,01A1,AD,C2U,0.008326783989011337
Bootscan,100,580,01A1,01C,AE,3.8521714014153506e-14
Bootscan,2880,3220,01A1,01C,AE,0.000553890643068535
Bootscan,5400,5480,01A1,01C,AE,0.017930929477539295
Bootscan,100,1640,01A1,AD,AE,0.0016255954470123933
Bootscan,4620,4900,01A1,AD,AE,0.0009283572305808629
Bootscan,2580,3000,01A1,AE,AG,0.04837503934286959
Bootscan,4920,5100,01A1,AE,AG,0.00906587183436549
Bootscan,2640,4360,01A1,AE,cpx,0.0001307737503213802
Bootscan,4540,4920,01A1,AE,cpx,3.763807084513311e-07
Bootscan,5180,5700,01A1,AE,cpx,0.006637159544165379
Bootscan,4920,5120,01A1,01B,AG,0.014594481503278767
Bootscan,4720,5040,01A1,02A,AG,6.416985723743595e-07
Bootscan,7660,7760,01A1,02A,AG,0.0312922554961605
Bootscan,3100,3320,01A1,02B,AG,0.020312090104720727
Bootscan,3500,3940,01A1,02B,AG,1.4621989176312167e-06
Bootscan,4260,4440,01A1,02B,AG,0.028188839985121953
Bootscan,1060,1800,01A1,02G,AG,1.3652969549492678e-05
Bootscan,2220,2360,01A1,02G,AG,0.020239984703887565
Bootscan,7680,7840,01A1,02G,AG,0.008097587200702206
Bootscan,8620,8720,01A1,02G,AG,0.04288591208529483
Bootscan,4420,4600,01A1,A2D,AG,0.01121970106748106
Bootscan,8160,8340,01A1,A2D,AG,0.01121970106748106
Bootscan,4340,4640,01A1,A5U,AG,0.024516494932333842
Bootscan,1160,1600,01A1,AD,AG,0.004212043700641206
Bootscan,4380,4620,01A1,AD,AG,0.023566135533642542
Bootscan,500,2080,01A1,AG,BC,0.0007483235993771411
Bootscan,2160,2600,01A1,AG,BC,0.001745328835818351
Bootscan,2220,2340,01A1,AG,BF,0.03796193460356337
Bootscan,3020,3900,01A1,AG,BG,1.646426618013625e-06
Bootscan,5520,5640,01A1,AG,BG,0.03686027336510521
Bootscan,3000,3980,01A1,AG,C2U,0.00010051895503038796
Bootscan,5260,6260,01A1,01C,B,0.0008703478270632365
Bootscan,7680,8060,01A1,02B,B,0.00016681969072190612
Bootscan,4260,4420,01A1,02G,B,0.03901203501628936
Bootscan,5560,5620,01A1,A1D,B,0.03458076393238281
Bootscan,8160,8480,01A1,A2D,B,0.007841913421020924
Bootscan,1320,1500,01A1,A5U,B,0.012684581573752357
Bootscan,3780,3960,01A1,A5U,B,0.0048178299044019665
Bootscan,560,640,01A1,B,BC,0.041155430290229174
